1.4.4 Jamaican	2.2.1.3.24.20	1.4.4 Jamaican
Jinxi black clams	6.2.1.4.18.8	Jinxi black clams
Jinxi black clams	6.2.1.4.6.10	Jinxi black clams
Jinxi flower silver carp	6.2.1.4.6.11	Jinxi flower silver carp
Jinxiang garlic	6.1.2.3.18.2	Jinxiang garlic
Jinxiang garlic	6.1.2.3.2.1	Jinxiang garlic
Jinxiang garlic	6.1.2.3.9.1	Jinxiang garlic
Jinxiu yellow peaches	6.2.2.2.18.10	Jinxiu yellow peaches
Jinxiu yellow peaches	6.2.2.2.3.3	Jinxiu yellow peaches
Jinyu Sannian olive	6.3.1.3.18.5	Jinyu Sannian olive
Jinyu Sannian olive	6.3.1.3.3.1	Jinyu Sannian olive
Jinzhou duck pear	6.1.1.3.18.7	Jinzhou duck pear
Jinzhou duck pear	6.1.1.3.3.2	Jinzhou duck pear
Jinzhou pickles	6.1.3.1.14.2	Jinzhou pickles
Jinzhou pickles	6.1.3.1.18.13	Jinzhou pickles
Jireesh	4.5.6.3.18.5	Jireesh
Jiro persimmons	6.2.2.2.3.25	Jiro persimmons
Jiro persimmons	6.7.5.3.12.6	Jiro persimmons
Jiro persimmons	6.7.5.3.18.9	Jiro persimmons
Jiro persimmons	6.7.5.3.3.1	Jiro persimmons
Jirof	1.4.5.2.19.6	Jirof
Jirof	1.4.5.2.8.4	Jirof
Jirof	1.4.5.3.8.4	Jirof
Jirof	1.4.5.4.8.4	Jirof
Jisheed	4.5.6.1.18.15	Jisheed
jitomate	1.2.1.1.2.1	jitomate
jitomate	1.2.1.2.2.2	jitomate
jitomate	1.2.1.2.9.5	jitomate
jitomate	1.2.1.4.2.1	jitomate
jitomate	1.2.1.4.9.5	jitomate
jitomate	1.2.1.5.2.4	jitomate
jitomate	1.2.1.5.9.4	jitomate
jitomate	1.2.2.1.2.2	jitomate
jitomate	1.2.2.1.9.4	jitomate
jitomate	1.2.2.2.2.3	jitomate
jitomate	1.2.2.2.9.4	jitomate
jitomate	1.2.2.3.2.1	jitomate
jitomate	1.2.2.3.9.4	jitomate
jitomate	1.2.2.4.2.5	jitomate
jitomate	1.2.2.4.9.4	jitomate
jitomate	1.2.2.5.2.3	jitomate
jitomate	1.2.2.5.9.4	jitomate
jitomate	1.2.3.1.2.1	jitomate
jitomate	1.2.3.1.9.4	jitomate
jitomate	1.2.3.2.2.1	jitomate
jitomate	1.2.3.2.9.4	jitomate
jitomate	1.2.3.3.2.1	jitomate
jitomate	1.2.3.3.9.4	jitomate
jitomate	1.2.3.4.2.1	jitomate
jitomate	1.2.3.4.9.4	jitomate
jitomate	1.2.4.1.2.1	jitomate
jitomate	1.2.4.1.9.4	jitomate
jitomate	1.2.4.2.2.1	jitomate
jitomate	1.2.4.2.9.4	jitomate
jitomate	1.2.4.3.2.1	jitomate
jitomate	1.2.4.3.9.4	jitomate
jitomate	1.2.4.4.2.1	jitomate
jitomate	1.2.4.4.9.4	jitomate
jitomate	1.2.4.5.2.1	jitomate
jitomate	1.2.4.5.9.4	jitomate
jitomate	1.2.5.1.2.1	jitomate
jitomate	1.2.5.1.9.4	jitomate
jitomate	1.2.5.4.2.2	jitomate
jitomate	1.2.5.5.2.1	jitomate
jitomate	1.2.5.5.9.4	jitomate
jitomate	1.2.6.1.2.1	jitomate
jitomate	1.2.6.1.9.4	jitomate
jitomate	1.2.6.2.2.1	jitomate
jitomate	1.2.6.2.9.4	jitomate
jitomate	1.2.6.3.2.1	jitomate
jitomate	1.2.6.3.9.4	jitomate
jitomate	1.2.7.1.2.1	jitomate
jitomate	1.2.7.1.9.4	jitomate
jitomate	1.2.7.2.2.1	jitomate
jitomate	1.2.7.2.9.4	jitomate
jitomate	1.2.7.3.2.1	jitomate
jitomate	1.2.7.3.9.4	jitomate
jitomate	1.2.7.4.2.1	jitomate
jitomate	1.2.7.4.9.3	jitomate
jitomate criollo	1.2.5.2.2.1	jitomate criollo
jitomate criollo	1.2.5.2.9.4	jitomate criollo
jitomate criollo	1.2.5.3.2.1	jitomate criollo
jitomate criollo	1.2.5.3.9.4	jitomate criollo
jitomate picado	1.2.4.2.17.1	jitomate picado
jitomate picado	1.2.4.3.17.2	jitomate picado
jitomate picado	1.2.4.5.17.2	jitomate picado
Jiu Gui Jiu	6.2.3.2.20.9	Jiu Gui Jiu
jiuniang	6.2.1.1.14.12	jiuniang
jiuniang	6.2.1.1.20.4	jiuniang
jiuqu	6.4.1.1.22.2	jiuqu
jiuqu	6.4.1.2.22.2	jiuqu
jiuqu	6.4.1.4.22.2	jiuqu
jiuqu	6.4.2.1.22.2	jiuqu
jiuqu	6.4.2.2.22.3	jiuqu
jiuqu	6.4.2.3.22.2	jiuqu
jiuqu	6.4.2.4.22.2	jiuqu
jiuqu	6.4.3.1.22.2	jiuqu
jiuqu	6.4.3.2.22.2	jiuqu
jiuqu	6.4.3.3.22.2	jiuqu
jiuqu starter	6.2.1.1.22.3	jiuqu starter
jiuqu starter	6.2.1.3.22.3	jiuqu starter
jiuqu starter	6.2.2.1.22.3	jiuqu starter
jiuqu starter	6.2.2.2.22.3	jiuqu starter
jiuqu starter	6.2.3.1.22.3	jiuqu starter
jiuqu starter	6.2.3.2.22.3	jiuqu starter
jiuqu starter	6.2.3.3.22.3	jiuqu starter
jiuqu starter	6.2.3.4.22.3	jiuqu starter
jiuqu starter	6.2.4.1.22.3	jiuqu starter
jiuqu starter	6.2.4.2.22.3	jiuqu starter
jiuqu starter	6.2.4.3.22.3	jiuqu starter
jiuqu starter	6.2.4.4.22.3	jiuqu starter
Jiusan soybeans	6.1.3.3.18.7	Jiusan soybeans
Jiusan soybeans	6.1.3.3.4.1	Jiusan soybeans
jiushi pomelo	6.4.1.3.3.3	jiushi pomelo
Jiutai tribute rice	6.1.3.2.1.3	Jiutai tribute rice
Jiutai tribute rice	6.1.3.2.18.3	Jiutai tribute rice
jiuzao fish	6.2.4.4.14.1	jiuzao fish
jiuzao fish	6.2.4.4.18.7	jiuzao fish
Jixian apple	6.1.4.2.18.6	Jixian apple
Jixian apple	6.1.4.2.3.1	Jixian apple
Jize chili flakes	6.1.4.1.8.1	Jize chili flakes
Jize chili paste	6.1.4.1.13.6	Jize chili paste
Jize chili pepper	6.1.4.1.18.13	Jize chili pepper
Jize chili pepper	6.1.4.1.2.6	Jize chili pepper
Jize fresh eggs	6.1.4.1.18.18	Jize fresh eggs
Jize fresh eggs	6.1.4.1.6.11	Jize fresh eggs
Jize-type red chili pepper	6.1.4.3.2.7	Jize-type red chili pepper
jizong mushroom	6.4.2.1.18.4	jizong mushroom
Jjobyo	3.6.3.1.2.13	Jjobyo
Jjobyo	3.6.3.2.2.13	Jjobyo
joala ba Sesotho	3.7.8.3.14.4	joala ba Sesotho
joala ba Sesotho	3.7.8.3.20.2	joala ba Sesotho
joala ba Sesotho	3.7.8.4.20.3	joala ba Sesotho
Job's tears	5.5.5.4.1.4	Job's tears
Job's tears	5.5.5.4.18.1	Job's tears
Job's tears	6.6.2.1.1.11	Job's tears
Job's tears	6.6.2.1.18.6	Job's tears
Job's tears	7.1.1.5.1.8	Job's tears
Job's tears	7.1.5.4.1.7	Job's tears
Jobfish	4.5.5.1.6.8	Jobfish
Jobfish	5.8.2.2.6.12	Jobfish
jobfish	9.5.2.2.6.21	jobfish
jobo	1.2.3.1.18.5	jobo
jobo	1.2.3.1.3.15	jobo
jobo	1.2.7.3.3.16	jobo
jobo en conserva	1.2.3.1.14.7	canned jobo
jocheong	6.6.1.1.15.2	jocheong
jocheong	6.6.2.1.15.2	jocheong
jocheong	6.6.2.2.15.2	jocheong
jocheong	6.6.2.3.15.2	jocheong
jocheong	6.6.2.4.15.2	jocheong
jocheong	6.6.2.5.15.4	jocheong
jocheong	6.6.3.1.15.2	jocheong
jocheong	6.6.3.2.15.2	jocheong
joco amarillo	1.6.5.3.2.3	joco amarillo
joco en puré	1.6.5.3.18.4	pureed joco
joco verde	1.6.5.3.2.1	joco verde
joco verde overo	1.6.5.3.2.2	joco verde overo
jocoatol	1.2.7.4.14.1	jocoatol
jocoatol	1.2.7.4.20.3	jocoatol
Jocón	1.3.1.1.13.2	Jocon
Jocón	1.3.1.2.13.2	Jocon
jocón	1.3.1.1.13.16	jocón
jocón	1.3.1.5.13.10	jocón
Jocote	1.3.1.1.3.9	Jocote
Jocote	1.3.1.3.3.2	Jocote
Jocote	1.3.1.4.3.11	Jocote
Jocote	1.3.3.1.3.12	Jocote
Jocote	1.3.3.2.3.2	Jocote
Jocote	1.3.3.3.3.2	Jocote
Jocote	1.3.3.4.3.5	Jocote
Jocote	1.3.5.1.3.7	Jocote
Jocote	1.3.5.2.3.3	Jocote
Jocote	1.3.6.1.3.1	Jocote
jocote	1.2.7.1.3.11	jocote
jocote	1.2.7.4.3.10	jocote
jocote	1.3.1.2.3.20	jocote
jocote	1.3.3.2.18.17	jocote
jocote	1.3.3.2.3.15	jocote
jocote	1.3.3.3.3.17	jocote
jocote	1.3.3.4.3.17	jocote
jocote	1.3.4.5.3.21	jocote
jocote	1.3.5.1.3.25	jocote
jocote	1.3.5.2.3.21	jocote
jocote	1.3.6.2.3.3	jocote
jocote	1.3.6.3.3.13	jocote
jocote barón rojo	1.3.3.1.18.10	jocote red baron
jocote barón rojo	1.3.3.1.3.14	jocote red baron
jocote corona	1.3.3.1.18.9	jocote corona
jocote corona	1.3.3.1.3.13	jocote corona
Jocote de marañón	1.3.1.2.18.5	Cashew jocote
Jocote de marañón	1.3.1.2.3.7	Cashew jocote
jocote de marañón	1.3.1.2.18.14	cashew jocote
jocote de pava	1.3.1.2.19.8	turkey jocote
Jocote en miel	1.3.5.1.14.9	Jocote in honey
jocote jobo	1.3.1.2.19.9	jocote jobo
Jocote preserve	1.3.6.1.14.8	Jocote preserve
jocote verde	1.3.6.2.12.8	jocote verde
Jocote wine	1.3.6.1.20.9	Jocote wine
jocotes en miel	1.3.1.2.14.13	jocotes in honey
jocotes en miel	1.3.3.1.14.14	jocotes in honey
jocotes en miel	1.3.4.1.14.15	jocotes in honey
Joe henry	1.5.2.2.18.12	Joe henry
Jõeniidu goat grilling cheese	2.9.6.2.18.9	Jõeniud goat grilling cheese
Joeom sweet potatoes	6.6.2.5.1.13	Joeom sweet potatoes
Joghurt	2.5.1.1.11.10	Joghurt
Joghurt	2.5.2.2.11.8	Joghurt
Joghurt	2.5.2.4.11.9	Joghurt
Joghurt	2.5.3.1.11.8	Joghurt
Joghurt	2.5.3.2.11.6	Joghurt
Joghurt	2.5.3.3.11.8	Joghurt
Joghurt	2.5.3.3.14.12	Joghurt
jogi jeot	6.6.2.1.13.9	jogi jeot
jogi jeot	6.6.2.1.14.14	jogi jeot
Jogorah	5.5.5.6.20.8	Jogorah
jogurt	2.5.5.2.11.16	jogurt
Joha saul	5.5.5.1.1.1	Joha saul
Joha saul	5.5.5.1.18.3	Joha saul
Johannisbeeren	2.5.2.4.3.14	Johannisbeeren
Johanniter grapes	2.9.1.3.18.10	Johanniter grapes
John Charles	1.3.2.2.19.6	John Charles
John Charles	1.3.5.3.19.3	John Charles
John Dory	2.1.2.4.6.23	John Dory
John Dory	2.2.8.2.6.17	John Dory
John Dory	2.2.8.3.6.6	John Dory
John Dory	2.3.6.2.6.15	John Dory
john dory	2.1.1.4.6.31	john dory
john dory	9.2.2.1.6.2	john dory
john dory	9.2.2.2.6.12	john dory
john dory	9.2.2.4.6.6	john dory
john dory	9.2.3.4.6.36	john dory
Johnny cake	1.3.5.3.18.7	Johnny cake
Johnny cake	1.4.7.1.1.12	Johnny cake
Johnny cake	1.4.7.2.1.20	Johnny cake
Johnny cake	1.4.7.4.1.20	Johnny cake
Johnny cake	1.5.2.2.18.11	Johnny cake
johnny cake	1.3.5.3.18.13	johnny cake
Johnny cake dough	1.3.2.1.18.5	Johnny cake dough
Johnny cake dough	1.3.2.1.23.3	Johnny cake dough
Johnny cake dough	1.4.7.1.18.5	Johnny cake dough
Johnny cake dough	1.4.8.2.1.14	Johnny cake dough
Johnny cake dough	1.4.8.2.18.7	Johnny cake dough
Johrenia aromatica	4.4.1.3.19.3	Johrenia aromatica
Joiser Herzkirsche	2.5.3.2.3.6	Joiser Herzkirsche
Jokakarei	6.7.6.5.18.32	Jokakarei
Jokakarei	6.7.6.5.6.31	Jokakarei
Jol	5.5.1.1.16.1	Jol
Jol	5.5.1.2.16.1	Jol
Jolada rotti flour	5.6.3.4.1.2	Jolada rotti flour
Jolada rotti flour	5.6.3.4.18.1	Jolada rotti flour
Jolpai achar	5.5.1.1.14.3	Jolpai achar
Jolphai	5.5.5.1.12.13	Jolphai
Jolphai	5.5.5.1.3.14	Jolphai
Jolphair achar	5.5.5.1.14.11	Jolphair achar
Joly Red apples	2.3.8.3.3.15	Joly Red apples
Jonagold	2.4.1.3.3.5	Jonagold
Jonagold	2.5.1.2.3.3	Jonagold
Jonagold apples	1.1.1.1.3.6	Jonagold apples
Jonagold apples	1.1.1.4.3.5	Jonagold apples
Jonagold apples	1.1.2.3.3.7	Jonagold apples
Jonagold apples	1.1.2.5.3.9	Jonagold apples
Jonagold apples	1.1.4.3.3.5	Jonagold apples
Jonagold apples	1.1.4.4.3.6	Jonagold apples
Jonagold apples	2.3.8.1.3.4	Jonagold apples
Jonagold apples	2.6.1.1.3.1	Jonagold apples
Jonagold apples	6.7.2.1.3.5	Jonagold apples
Jonagold apples	6.7.2.2.3.15	Jonagold apples
Jonagored	2.5.1.2.3.4	Jonagored
Jonah crab	1.1.1.1.6.11	Jonah crab
Jonah crab	1.1.1.4.6.11	Jonah crab
Jonah crab	1.1.13.1.6.26	Jonah crab
Jonah crab	1.1.2.4.6.9	Jonah crab
Jonathan apples	1.1.1.1.3.9	Jonathan apples
Jonathan apples	1.1.4.3.3.4	Jonathan apples
Jondra	5.5.4.2.1.3	Jondra
jonge jenever	2.3.8.1.20.3	jonge jenever
jonjoli	4.2.1.1.14.1	jonjoli
jonjoli buds	4.2.1.1.18.1	jonjoli buds
jonjoli buds	4.2.1.3.18.3	jonjoli buds
Jonna ambali	5.6.5.2.20.6	Jonna ambali
Jonna ambali	5.6.5.3.20.5	Jonna ambali
Jonna ambali mix	5.6.5.3.18.6	Jonna ambali mix
Jonna roti flour	5.6.4.3.18.3	Jonna roti flour
Jonna roti flour	5.6.5.2.18.6	Jonna roti flour
Jonna roti flour	5.6.5.3.18.1	Jonna roti flour
jooshvareh dough sheets	4.6.5.1.23.5	jooshvareh dough sheets
Jora	1.5.4.1.1.7	Jora
Jora	1.5.4.3.1.5	Jora
Jordeplebrød	2.9.2.2.1.13	Strawberry bread
Joshu Mugi Pork	6.7.3.2.6.4	Joshu Mugi Pork
Joshu Wagyu	6.7.3.2.6.1	Joshu Wagyu
Jou	5.5.5.1.20.5	Jou
Joumou	1.4.5.1.2.9	Joumou
Joumou	1.4.5.2.2.9	Joumou
Joumou	1.4.5.3.2.9	Joumou
Joumou	1.4.5.4.2.8	Joumou
Jowar	5.3.3.1.1.8	Jowar
Jowar	5.4.2.1.1.8	Jowar
Jowar	5.4.2.2.1.1	Jowar
Jowar	5.4.2.3.1.4	Jowar
Jowar	5.4.2.4.1.1	Jowar
Jowar	5.4.4.1.1.4	Jowar
Jowar	5.4.4.2.1.12	Jowar
Jowar	5.4.4.3.1.4	Jowar
Jowar	5.4.4.4.1.4	Jowar
Jowar	5.4.5.1.1.17	Jowar
Jowar	5.4.5.2.1.13	Jowar
Jowar	5.5.4.2.1.9	Jowar
Jowar	5.6.3.2.1.8	Jowar
Jowar	5.6.3.3.1.10	Jowar
Jowar	5.6.3.4.1.1	Jowar
Jowar	5.6.4.1.1.11	Jowar
Jowar	5.6.4.2.1.9	Jowar
Jowar	5.6.4.3.1.9	Jowar
Jowar	5.6.5.1.1.11	Jowar
Jowar	5.6.5.2.1.12	Jowar
Jowar	5.6.5.3.1.7	Jowar
jowar	5.1.2.2.1.7	jowar
jowar	5.2.1.2.1.7	jowar
jowar	5.2.1.4.1.13	jowar
jowar	5.2.2.2.1.11	jowar
jowar	5.2.2.3.1.11	jowar
jowar	5.2.2.4.1.5	jowar
jowar	5.2.4.2.1.6	jowar
jowar dough	5.2.4.3.23.2	jowar dough
Jowar flour	5.4.1.1.1.4	Jowar flour
Jowar flour	5.4.2.2.1.3	Jowar flour
Jowar flour	5.4.2.3.1.5	Jowar flour
Jowar flour	5.4.2.4.1.2	Jowar flour
Jowar flour	5.4.4.1.1.5	Jowar flour
Jowar flour	5.4.4.3.1.5	Jowar flour
Jowar flour	5.4.4.4.1.5	Jowar flour
Jowar flour	5.6.4.3.1.10	Jowar flour
Jowar flour	5.6.5.1.1.12	Jowar flour
Jowar flour	5.6.5.2.1.13	Jowar flour
Jowar flour	5.6.5.3.1.8	Jowar flour
jowar flour	5.2.1.1.1.13	jowar flour
jowar flour	5.2.2.4.1.6	jowar flour
jowar flour	5.2.4.3.1.6	jowar flour
jowar flour	5.2.4.4.1.6	jowar flour
Jowar-stalk embers	5.6.3.4.24.3	Jowar-stalk embers
Jowar-stalk smoke	5.6.4.3.24.3	Jowar-stalk smoke
Jowar-stalk smoke	5.6.5.2.24.4	Jowar-stalk smoke
Jowar-stalk smoke	5.6.5.3.24.3	Jowar-stalk smoke
Joyitri	5.5.1.1.8.16	Joyitri
Jærert peas	2.9.2.2.4.1	Boiled peas
Juanilama	1.3.6.1.19.5	Juanilama
Juanilama	1.3.6.1.7.10	Juanilama
juanilama	1.3.6.2.19.11	juanilama
juanilama	1.3.6.2.7.14	juanilama
juanilama	1.3.6.3.19.1	juanilama
juçara	1.7.2.4.18.1	juçara
juçara	1.7.2.4.20.1	juçara
juçara	1.7.2.4.3.1	juçara
juçara	1.7.4.1.18.1	juçara
juçara	1.7.4.1.19.1	juçara
juçara	1.7.4.1.3.1	juçara
juçara	1.7.4.2.19.4	juçara
juçara	1.7.4.2.3.3	juçara
juçara	1.7.5.1.3.15	juçara
juçara	1.7.5.2.3.2	juçara
juçara	1.7.5.3.3.11	juçara
juçara batida	1.7.2.4.16.2	beaten juçara
judía arrocina	2.2.4.1.4.3	rice bean
judía blanca	2.2.4.2.4.6	white bean
judía blanca	2.2.6.3.4.5	white bean
judía blanca	2.2.7.3.4.9	white bean
judía blanca	2.2.7.4.4.9	white bean
judía blanca redonda	2.2.4.1.4.2	round white bean
judía blanca riñón	2.2.4.1.4.1	white kidney bean
judía colorada	2.2.6.3.4.6	red bean
judía colorada	2.2.7.4.4.10	red bean
judía morada larga	2.2.4.1.4.6	long purple bean
judía morada redonda	2.2.4.1.4.5	round purple bean
judía planchada	2.2.4.1.4.4	grilled bean
judía verde	2.2.3.2.2.14	green bean
judía verde	2.2.4.1.2.17	green bean
judía verde	2.2.4.2.2.14	green bean
judía verde	2.2.7.2.4.10	green bean
judía verde	2.2.7.3.4.10	green bean
judía verde	2.2.7.4.2.22	green bean
judías verdes	2.2.6.3.2.20	French beans
judión	2.2.4.3.4.4	Jew
Judión de La Granja	2.2.4.1.18.1	Bean from La Granja
Judión de La Granja	2.2.4.1.4.8	Bean from La Granja
judión del Barco	2.2.4.1.4.7	ship's bean
Judunga	5.4.5.2.4.1	Judunga
Juey	1.4.2.4.6.13	Juey
Jueyes	1.4.2.1.6.13	Jueyes
Jueyes	1.4.2.3.6.17	Jueyes
Jueyes	1.4.2.5.18.5	Jueyes
Jueyes	1.4.2.5.6.16	Jueyes
jufka dibrane	2.6.7.2.1.11	jufka dibrane
jufka dibrane	2.6.7.2.14.1	jufka dibrane
jufka dibrane	2.6.7.2.18.5	jufka dibrane
jugo beans	3.7.8.1.18.3	jugo beans
jugo beans	3.7.8.1.4.3	jugo beans
Jugo de ananá	1.8.6.2.20.9	pineapple juice
Jugo de arazá	1.8.2.3.16.10	Araza juice
Jugo de árbol del pan	1.5.2.3.20.14	breadfruit juice
Jugo de berries	1.8.5.1.16.9	berry juice
Jugo de berries	1.8.5.1.20.7	berry juice
Jugo de borojó	1.5.2.3.20.9	borojo juice
Jugo de butiá	1.8.2.3.16.9	Butiá yoke
Jugo de calafate	1.8.5.3.12.2	calafate juice
Jugo de calafate	1.8.5.3.20.1	calafate juice
Jugo de calafate	1.8.5.4.12.2	calafate juice
Jugo de calafate	1.8.5.4.16.6	calafate juice
Jugo de calafate	1.8.5.4.20.3	calafate juice
jugo de caña	1.3.5.3.15.6	cane juice
jugo de caña	1.3.7.2.16.8	cane juice
jugo de carambola	1.3.5.3.16.15	starfruit juice
jugo de carambola	1.3.5.3.20.19	starfruit juice
Jugo de china	1.4.2.4.16.8	china juice
Jugo de chinola	1.4.3.2.16.8	Chinola juice
Jugo de chinola	1.4.3.2.20.8	Chinola juice
Jugo de chinola	1.4.3.4.16.9	Chinola juice
Jugo de chinola	1.4.3.4.20.9	Chinola juice
Jugo de chontaduro	1.5.2.3.20.10	chontaduro juice
jugo de cítricos	1.6.5.3.20.7	citrus juice
Jugo de coco	1.5.5.1.20.6	coconut juice
Jugo de corozo	1.5.2.1.20.1	corozo juice
Jugo de Don Pedrito	1.5.2.3.20.13	Don Pedrito Juice
Jugo de frambuesa	1.8.4.3.16.8	raspberry juice
Jugo de frambuesa	1.8.4.3.20.11	raspberry juice
jugo de fresa	1.3.7.5.16.5	strawberry juice
Jugo de frutilla	1.8.6.4.16.9	strawberry juice
Jugo de frutilla	1.8.6.4.20.11	strawberry juice
Jugo de frutos rojos	1.8.1.6.16.9	Red fruit juice
Jugo de grosella	1.8.5.3.12.3	currant juice
Jugo de grosella	1.8.5.4.12.3	currant juice
Jugo de guanábana	1.4.2.3.16.10	soursop juice
Jugo de guanábana	1.4.2.3.20.9	soursop juice
Jugo de guayaba	1.8.3.1.16.9	guava juice
Jugo de guayaba	1.8.3.3.16.7	guava juice
Jugo de guayaba	1.8.3.3.20.2	guava juice
Jugo de guayaba	1.8.6.2.16.9	guava juice
Jugo de guayaba	1.8.6.2.20.11	guava juice
Jugo de lima	1.4.4.1.12.1	lime juice
Jugo de lima	1.8.1.3.12.3	lime juice
Jugo de lima	1.8.3.1.12.3	lime juice
Jugo de lima	1.8.3.2.12.2	lime juice
Jugo de lima	1.8.3.3.12.2	lime juice
Jugo de lima	1.8.3.3.20.4	lime juice
Jugo de lima	1.8.4.1.12.2	lime juice
Jugo de lima	1.8.4.2.12.2	lime juice
jugo de lima	1.2.6.1.16.6	lime juice
jugo de lima	1.2.6.2.16.7	lime juice
jugo de lima	1.2.6.3.16.7	lime juice
Jugo de limón	1.4.1.1.16.5	lemon juice
Jugo de limón	1.4.1.2.12.4	lemon juice
Jugo de limón	1.4.1.2.16.7	lemon juice
Jugo de limón	1.4.1.3.12.5	lemon juice
Jugo de limón	1.5.2.2.17.4	lemon juice
Jugo de limón	1.5.2.3.17.3	lemon juice
Jugo de limón	1.5.2.4.17.4	lemon juice
Jugo de limón	1.5.3.1.17.2	lemon juice
Jugo de limón	1.5.3.4.17.3	lemon juice
Jugo de limón	1.8.1.1.12.4	lemon juice
Jugo de limón	1.8.1.2.12.4	lemon juice
Jugo de limón	1.8.1.3.12.1	lemon juice
Jugo de limón	1.8.1.4.12.5	lemon juice
Jugo de limón	1.8.1.5.12.1	lemon juice
Jugo de limón	1.8.1.6.12.1	lemon juice
Jugo de limón	1.8.2.1.12.1	lemon juice
Jugo de limón	1.8.2.2.12.1	lemon juice
Jugo de limón	1.8.2.3.12.1	lemon juice
Jugo de limón	1.8.3.2.12.1	lemon juice
Jugo de limón	1.8.3.2.16.9	lemon juice
Jugo de limón	1.8.3.3.12.1	lemon juice
Jugo de limón	1.8.3.3.16.5	lemon juice
Jugo de limón	1.8.3.3.20.5	lemon juice
Jugo de limón	1.8.4.1.12.1	lemon juice
Jugo de limón	1.8.4.1.16.10	lemon juice
Jugo de limón	1.8.4.2.12.1	lemon juice
Jugo de limón	1.8.4.2.16.12	lemon juice
Jugo de limón	1.8.4.3.12.1	lemon juice
Jugo de limón	1.8.5.1.12.1	lemon juice
Jugo de limón	1.8.5.2.12.2	lemon juice
Jugo de limón	1.8.6.1.12.1	lemon juice
Jugo de limón	1.8.6.1.16.8	lemon juice
Jugo de limón	1.8.6.2.12.1	lemon juice
Jugo de limón	1.8.6.2.16.8	lemon juice
Jugo de limón	1.8.6.3.12.1	lemon juice
Jugo de limón	1.8.6.3.16.8	lemon juice
Jugo de limón	1.8.6.4.12.1	lemon juice
Jugo de limón	1.8.6.4.16.8	lemon juice
jugo de limón	1.2.1.1.16.8	lemon juice
jugo de limón	1.2.1.2.16.4	lemon juice
jugo de limón	1.2.1.3.12.3	lemon juice
jugo de limón	1.2.1.4.16.5	lemon juice
jugo de limón	1.2.2.3.16.7	lemon juice
jugo de limón	1.2.4.1.16.5	lemon juice
jugo de limón	1.2.4.2.16.3	lemon juice
jugo de limón	1.2.4.3.16.5	lemon juice
jugo de limón	1.2.4.4.16.4	lemon juice
jugo de limón	1.2.4.5.16.6	lemon juice
jugo de limón	1.2.7.1.16.6	lemon juice
jugo de limón	1.2.7.2.16.5	lemon juice
jugo de limón	1.3.4.2.12.7	lemon juice
jugo de limón	1.3.4.4.12.4	lemon juice
jugo de limón	1.3.5.1.12.8	lemon juice
jugo de limón	1.3.5.3.12.6	lemon juice
jugo de limón	1.3.5.4.16.17	lemon juice
jugo de limón	1.3.6.2.12.2	lemon juice
jugo de limón	1.3.6.3.12.2	lemon juice
jugo de limón	1.3.6.3.16.12	lemon juice
jugo de limón	1.3.6.4.16.12	lemon juice
jugo de limón	1.3.6.5.12.3	lemon juice
jugo de limón	1.3.7.1.16.8	lemon juice
jugo de limón	1.3.7.2.12.2	lemon juice
jugo de limón	1.3.7.5.12.1	lemon juice
jugo de limón	1.3.7.5.22.1	lemon juice
jugo de limón	1.6.1.2.16.8	lemon juice
jugo de limón	1.6.1.3.16.10	lemon juice
jugo de limón	1.6.4.1.12.3	lemon juice
jugo de limón	1.6.4.2.12.2	lemon juice
jugo de limón	1.6.4.3.12.2	lemon juice
jugo de limón	1.6.5.1.12.2	lemon juice
jugo de limón	1.6.5.2.12.2	lemon juice
jugo de limón	1.6.5.2.16.3	lemon juice
jugo de limón	1.6.5.3.16.5	lemon juice
jugo de limón	1.6.5.4.12.2	lemon juice
jugo de limón agrio	1.3.6.1.12.7	sour lemon juice
jugo de limón agrio	1.3.6.3.20.7	sour lemon juice
jugo de limón criollo	1.3.7.1.12.1	creole lemon juice
Jugo de limón de Codpa	1.8.3.1.12.2	Codpa lemon juice
Jugo de limón de Pica	1.8.3.1.12.1	Pica lemon juice
Jugo de limón de Pica	1.8.3.1.16.8	Pica lemon juice
Jugo de limón de Pica	1.8.3.1.20.11	Pica lemon juice
jugo de limón mandarina	1.3.7.1.12.2	tangerine lemon juice
Jugo de lulo tropical	1.5.2.3.20.12	Tropical lulo juice
jugo de mandarina	1.3.5.4.20.42	tangerine juice
Jugo de mango	1.4.1.3.16.8	mango juice
Jugo de mango	1.8.3.3.16.6	mango juice
Jugo de mango	1.8.3.3.20.1	mango juice
Jugo de manzana	1.8.1.6.16.7	apple juice
Jugo de manzana	1.8.1.6.20.11	apple juice
Jugo de manzana	1.8.4.3.16.7	apple juice
Jugo de manzana	1.8.5.1.16.8	apple juice
Jugo de manzana	1.8.5.1.20.6	apple juice
Jugo de manzana	1.8.5.2.16.7	apple juice
Jugo de manzana	1.8.5.2.20.3	apple juice
Jugo de manzana agria	1.8.5.2.12.3	sour apple juice
Jugo de maracuyá	1.8.1.5.20.12	passion fruit juice
Jugo de maracuyá	1.8.3.3.16.8	passion fruit juice
Jugo de maracuyá	1.8.3.3.20.3	passion fruit juice
Jugo de mburucuyá	1.8.6.2.16.10	mburucuya juice
Jugo de mburucuyá	1.8.6.2.20.10	mburucuya juice
jugo de melocotón	1.3.5.4.20.43	peach juice
