0ya	3.8.5.3.2.8	0ya
yellow peaches	6.2.2.1.3.2	yellow peaches
yellow peaches	6.2.3.1.3.5	yellow peaches
yellow peaches	6.2.3.3.3.2	yellow peaches
yellow peaches	6.2.3.4.3.2	yellow peaches
yellow peaches	6.2.4.2.3.4	yellow peaches
yellow peaches	6.2.4.4.3.6	yellow peaches
Yellow peas	1.1.13.6.4.13	Yellow peas
Yellow peas	1.1.14.6.4.13	Yellow peas
Yellow peas	2.9.1.1.4.2	Yellow peas
Yellow peas	2.9.2.1.4.2	Yellow peas
Yellow peas	2.9.2.4.4.3	Yellow peas
Yellow peas	2.9.3.2.4.2	Yellow peas
Yellow peas	2.9.3.3.4.2	Yellow peas
Yellow peas	2.9.3.4.4.3	Yellow peas
Yellow peas	2.9.4.2.4.2	Yellow peas
Yellow peas	2.9.4.3.4.3	Yellow peas
Yellow peas	2.9.4.4.4.2	Yellow peas
Yellow peas	2.9.5.1.4.2	Yellow peas
Yellow peas	2.9.6.1.4.2	Yellow peas
Yellow peas	2.9.6.2.4.2	Yellow peas
Yellow peas	2.9.6.3.4.2	Yellow peas
Yellow peas	2.9.7.1.4.4	Yellow peas
Yellow peas	2.9.7.2.4.2	Yellow peas
Yellow peas	2.9.7.3.4.3	Yellow peas
Yellow peas	2.9.8.1.4.2	Yellow peas
Yellow peas	3.6.2.4.4.7	Yellow peas
Yellow peas	5.5.5.2.4.6	Yellow peas
yellow peas	1.1.11.4.4.7	yellow peas
yellow peas	1.1.13.3.4.2	yellow peas
yellow peas	1.1.14.1.4.1	yellow peas
yellow peas	1.1.14.3.4.3	yellow peas
yellow peas	1.1.14.4.4.6	yellow peas
yellow peas	1.1.14.5.4.3	yellow peas
yellow peas	1.1.6.2.4.10	yellow peas
yellow peas	1.1.6.6.4.9	yellow peas
yellow peas	1.1.7.1.4.9	yellow peas
yellow peas	1.1.7.2.4.9	yellow peas
yellow peas	1.1.7.4.4.2	yellow peas
yellow peas	1.1.7.5.4.4	yellow peas
yellow peas	2.1.2.2.4.1	yellow peas
yellow peas	2.8.4.1.4.5	yellow peas
yellow peas	6.1.1.1.1.16	yellow peas
yellow peas	6.1.1.1.4.5	yellow peas
yellow peas	6.1.1.2.4.7	yellow peas
yellow peas	6.4.4.1.4.3	yellow peas
yellow peas	6.4.4.3.4.2	yellow peas
yellow peas	6.4.4.4.4.4	yellow peas
yellow peas	6.4.5.3.1.18	yellow peas
yellow peas	6.4.5.3.4.1	yellow peas
yellow peas	7.1.1.1.4.3	yellow peas
yellow pepper sauce	6.2.3.3.13.2	yellow pepper sauce
Yellow perch	1.1.1.2.6.15	Yellow perch
Yellow perch	1.1.2.1.6.12	Yellow perch
Yellow perch	1.1.2.5.6.13	Yellow perch
Yellow perch	1.1.4.5.6.23	Yellow perch
yellow perch	1.1.11.3.6.13	yellow perch
yellow perch	1.1.11.4.6.13	yellow perch
yellow perch	1.1.13.2.6.2	yellow perch
yellow perch	1.1.13.3.6.17	yellow perch
yellow perch	1.1.14.2.6.19	yellow perch
yellow perch	1.1.6.1.6.2	yellow perch
yellow perch	1.1.6.2.6.2	yellow perch
yellow perch	1.1.6.6.6.3	yellow perch
yellow perch	1.1.7.1.6.14	yellow perch
yellow perch	1.1.7.2.6.12	yellow perch
yellow perch	1.1.7.5.6.15	yellow perch
Yellow plum	9.1.1.5.12.5	Yellow plum
Yellow plum	9.1.1.5.3.15	Yellow plum
yellow poppy paste	4.1.2.2.13.2	yellow poppy paste
yellow poppy seeds	4.1.2.2.5.1	yellow poppy seeds
Yellow potatoes	1.1.2.1.1.3	Yellow potatoes
Yellow potatoes	1.1.2.3.1.3	Yellow potatoes
Yellow potatoes	1.1.2.4.1.3	Yellow potatoes
Yellow potatoes	1.1.2.5.1.3	Yellow potatoes
Yellow potatoes	1.1.3.2.1.3	Yellow potatoes
yellow potatoes	1.1.10.3.1.15	yellow potatoes
yellow potatoes	1.1.13.1.1.4	yellow potatoes
yellow potatoes	1.1.13.3.1.3	yellow potatoes
yellow potatoes	1.1.14.1.1.2	yellow potatoes
yellow potatoes	1.1.14.2.1.2	yellow potatoes
yellow potatoes	1.1.14.3.1.2	yellow potatoes
yellow potatoes	1.1.14.5.1.4	yellow potatoes
yellow potatoes	1.1.6.1.1.5	yellow potatoes
yellow potatoes	1.1.6.2.1.6	yellow potatoes
yellow potatoes	1.1.6.3.1.16	yellow potatoes
yellow potatoes	1.1.6.4.1.3	yellow potatoes
yellow potatoes	1.1.6.5.1.19	yellow potatoes
yellow potatoes	1.1.6.6.1.6	yellow potatoes
yellow potatoes	1.1.7.1.1.16	yellow potatoes
yellow potatoes	1.1.7.2.1.20	yellow potatoes
yellow potatoes	1.1.7.3.1.19	yellow potatoes
yellow potatoes	1.1.7.4.1.24	yellow potatoes
yellow potatoes	1.1.7.5.1.19	yellow potatoes
yellow potatoes	1.1.8.1.1.17	yellow potatoes
yellow potatoes	1.1.8.2.1.19	yellow potatoes
yellow potatoes	1.1.8.3.1.19	yellow potatoes
yellow potatoes	1.1.8.4.1.21	yellow potatoes
yellow potatoes	1.1.8.5.1.18	yellow potatoes
yellow potatoes	1.1.8.6.1.20	yellow potatoes
yellow potatoes	1.1.9.4.1.25	yellow potatoes
yellow potatoes of Sklithros	2.7.1.5.1.17	yellow potatoes of Sklithros
yellow potatoes of Sklithros	2.7.1.5.18.13	yellow potatoes of Sklithros
yellow potatoes of Sklithros	2.7.1.5.2.15	yellow potatoes of Sklithros
Yellow pumpkin	4.5.2.1.2.8	Yellow pumpkin
Yellow pumpkin	5.6.2.1.2.13	Yellow pumpkin
Yellow rice	4.5.6.1.1.3	Yellow rice
yellow rice wine	6.2.1.2.20.1	yellow rice wine
yellow rice wine	6.2.2.1.20.1	yellow rice wine
Yellow River carp	6.1.2.2.6.14	Yellow River carp
Yellow River carp	6.1.4.3.6.24	Yellow River carp
Yellow River carp	6.1.4.4.6.13	Yellow River carp
Yellow River rice	6.1.2.2.1.7	Yellow River rice
yellow sand clam	6.3.1.1.6.36	yellow sand clam
Yellow sarson greens	5.7.3.1.2.6	Yellow sarson greens
yellow sea catfish	1.3.2.2.6.20	yellow sea catfish
yellow sesbania flowers	7.1.6.1.18.6	yellow sesbania flowers
yellow sesbania flowers	7.1.6.1.7.17	yellow sesbania flowers
yellow sesbania flowers	7.1.6.2.18.8	yellow sesbania flowers
yellow sesbania flowers	7.1.6.2.7.17	yellow sesbania flowers
yellow sesbania flowers	7.1.6.4.18.8	yellow sesbania flowers
yellow sesbania flowers	7.1.6.4.2.28	yellow sesbania flowers
Yellow soup	3.5.1.2.13.1	Yellow soup
yellow soybean	6.3.1.3.4.1	yellow soybean
yellow soybean	6.3.2.1.4.3	yellow soybean
yellow soybean	6.3.2.1.5.5	yellow soybean
yellow soybean	6.3.2.2.4.3	yellow soybean
yellow soybean	6.3.2.3.4.3	yellow soybean
yellow soybean	6.3.2.4.4.3	yellow soybean
yellow soybean	6.3.4.1.4.3	yellow soybean
yellow soybean	6.3.4.2.4.3	yellow soybean
yellow soybean	6.3.4.3.4.3	yellow soybean
yellow soybean	6.3.5.1.4.3	yellow soybean
yellow soybean	6.3.5.3.4.3	yellow soybean
yellow soybean	6.3.5.4.4.3	yellow soybean
yellow soybean paste	6.1.1.1.13.2	yellow soybean paste
yellow soybean paste	6.1.1.3.13.5	yellow soybean paste
yellow soybean paste	6.1.2.2.13.4	yellow soybean paste
yellow soybean paste	6.1.2.3.13.2	yellow soybean paste
yellow soybean paste	6.1.3.1.13.3	yellow soybean paste
yellow soybean paste	6.1.3.3.13.2	yellow soybean paste
yellow soybean paste	6.1.4.1.13.2	yellow soybean paste
yellow soybean paste	6.1.4.2.13.4	yellow soybean paste
yellow soybean paste	6.1.4.3.13.2	yellow soybean paste
yellow soybean paste	6.1.4.4.13.2	yellow soybean paste
yellow soybean paste	7.1.3.1.13.3	yellow soybean paste
yellow soybean paste	7.1.3.1.14.3	yellow soybean paste
yellow soybean paste	7.1.3.1.22.7	yellow soybean paste
yellow soybean paste	7.1.3.1.4.4	yellow soybean paste
yellow soybean paste	7.1.3.2.11.2	yellow soybean paste
yellow soybean paste	7.1.3.2.13.3	yellow soybean paste
yellow soybean paste	7.1.3.2.14.4	yellow soybean paste
yellow soybean paste	7.1.3.2.22.4	yellow soybean paste
yellow soybean paste	7.1.3.4.11.10	yellow soybean paste
yellow soybean paste	7.1.3.4.13.3	yellow soybean paste
yellow soybean paste	7.1.3.4.14.9	yellow soybean paste
yellow soybeans	6.1.1.1.4.3	yellow soybeans
yellow soybeans	6.1.1.2.4.3	yellow soybeans
yellow soybeans	6.1.1.3.4.2	yellow soybeans
yellow soybeans	6.1.2.2.4.2	yellow soybeans
yellow soybeans	6.1.2.3.4.2	yellow soybeans
yellow soybeans	6.1.3.1.4.2	yellow soybeans
yellow soybeans	6.1.3.2.4.2	yellow soybeans
yellow soybeans	6.1.3.3.4.3	yellow soybeans
yellow soybeans	6.1.3.4.4.2	yellow soybeans
yellow soybeans	6.1.4.1.4.2	yellow soybeans
yellow soybeans	6.1.4.2.4.2	yellow soybeans
yellow soybeans	6.1.4.3.4.2	yellow soybeans
yellow soybeans	6.1.4.4.4.1	yellow soybeans
yellow soybeans	6.2.1.1.4.1	yellow soybeans
yellow soybeans	6.2.1.2.4.1	yellow soybeans
yellow soybeans	6.2.1.3.4.1	yellow soybeans
yellow soybeans	6.2.1.4.4.1	yellow soybeans
yellow soybeans	6.2.2.1.4.1	yellow soybeans
yellow soybeans	6.2.2.2.4.1	yellow soybeans
yellow soybeans	6.2.3.1.4.1	yellow soybeans
yellow soybeans	6.2.3.2.4.1	yellow soybeans
yellow soybeans	6.2.3.3.4.1	yellow soybeans
yellow soybeans	6.2.3.4.4.1	yellow soybeans
yellow soybeans	6.2.4.1.4.1	yellow soybeans
yellow soybeans	6.2.4.2.4.1	yellow soybeans
yellow soybeans	6.2.4.3.4.1	yellow soybeans
yellow soybeans	6.2.4.4.4.1	yellow soybeans
yellow soybeans	6.4.1.1.4.1	yellow soybeans
yellow soybeans	6.4.1.2.4.1	yellow soybeans
yellow soybeans	6.4.1.3.4.1	yellow soybeans
yellow soybeans	6.4.1.4.1.15	yellow soybeans
yellow soybeans	6.4.1.4.4.1	yellow soybeans
yellow soybeans	6.4.2.1.4.1	yellow soybeans
yellow soybeans	6.4.2.2.4.2	yellow soybeans
yellow soybeans	6.4.2.3.4.1	yellow soybeans
yellow soybeans	6.4.2.4.4.1	yellow soybeans
yellow soybeans	6.4.3.1.4.1	yellow soybeans
yellow soybeans	6.4.3.2.4.1	yellow soybeans
yellow soybeans	6.4.3.3.4.1	yellow soybeans
yellow soybeans	6.4.4.3.4.6	yellow soybeans
yellow soybeans	6.4.4.4.4.1	yellow soybeans
yellow soybeans	6.4.5.1.4.4	yellow soybeans
yellow soybeans	6.4.5.2.4.3	yellow soybeans
yellow soybeans	6.4.5.3.4.5	yellow soybeans
yellow soybeans	6.4.5.4.4.3	yellow soybeans
yellow soybeans	7.1.3.4.4.2	yellow soybeans
yellow soybeans	7.1.6.1.4.3	yellow soybeans
yellow soybeans	7.1.6.3.4.3	yellow soybeans
yellow soybeans	7.1.6.4.4.3	yellow soybeans
yellow split pea	2.8.1.1.4.2	yellow split pea
yellow split pea	2.8.1.2.4.2	yellow split pea
yellow split pea flour	7.1.2.3.22.3	yellow split pea flour
Yellow split peas	3.8.2.1.4.1	Yellow split peas
Yellow split peas	3.8.2.2.4.1	Yellow split peas
yellow split peas	1.1.13.1.4.3	yellow split peas
yellow split peas	2.1.1.1.4.1	yellow split peas
yellow split peas	2.1.1.3.4.3	yellow split peas
yellow split peas	2.1.1.5.4.3	yellow split peas
yellow split peas	2.1.2.1.4.3	yellow split peas
yellow split peas	2.1.2.4.4.1	yellow split peas
yellow split peas	2.3.7.1.4.2	yellow split peas
yellow split peas	2.3.8.1.4.2	yellow split peas
yellow split peas	2.3.8.2.4.4	yellow split peas
yellow split peas	2.7.1.1.4.2	yellow split peas
yellow split peas	2.7.1.2.4.6	yellow split peas
yellow split peas	2.7.1.3.4.6	yellow split peas
yellow split peas	2.7.1.4.4.7	yellow split peas
yellow split peas	2.7.2.1.4.3	yellow split peas
yellow split peas	2.7.2.4.4.7	yellow split peas
yellow split peas	2.8.2.2.4.4	yellow split peas
yellow split peas	2.8.3.1.4.2	yellow split peas
yellow split peas	2.8.3.2.4.2	yellow split peas
yellow split peas	2.8.3.3.4.2	yellow split peas
yellow split peas	2.8.4.2.4.5	yellow split peas
yellow split peas	2.8.4.3.4.5	yellow split peas
yellow split peas	2.8.4.5.4.4	yellow split peas
yellow split peas	2.8.5.1.4.6	yellow split peas
yellow split peas	2.8.5.2.4.7	yellow split peas
yellow split peas	2.8.5.3.4.8	yellow split peas
yellow split peas	2.8.5.4.4.8	yellow split peas
yellow split peas	2.8.5.5.4.8	yellow split peas
yellow split peas	2.8.6.1.4.7	yellow split peas
yellow split peas	2.8.6.2.4.7	yellow split peas
yellow split peas	2.8.6.3.4.7	yellow split peas
yellow split peas	2.8.6.4.4.7	yellow split peas
yellow split peas	2.8.7.1.4.1	yellow split peas
yellow split peas	2.8.7.2.4.1	yellow split peas
yellow split peas	2.8.7.3.4.1	yellow split peas
yellow split peas	2.8.7.4.4.1	yellow split peas
yellow split peas	2.8.7.5.4.2	yellow split peas
yellow split peas	4.1.1.1.4.7	yellow split peas
yellow split peas	4.6.1.2.4.4	yellow split peas
yellow split peas	4.6.1.3.4.4	yellow split peas
yellow split peas	4.6.2.1.4.6	yellow split peas
yellow split peas	4.6.2.2.4.4	yellow split peas
yellow split peas	4.6.2.3.4.4	yellow split peas
yellow split peas	4.6.3.1.4.3	yellow split peas
yellow split peas	4.6.3.3.4.6	yellow split peas
yellow split peas	4.6.5.1.4.6	yellow split peas
yellow split peas	4.6.5.2.4.3	yellow split peas
yellow split peas	4.6.5.3.4.4	yellow split peas
yellow split peas	5.1.1.4.4.3	yellow split peas
yellow split peas	7.1.1.3.1.11	yellow split peas
yellow split peas	7.1.1.3.22.2	yellow split peas
yellow split peas	7.1.1.3.4.4	yellow split peas
yellow split peas	7.1.2.3.1.9	yellow split peas
yellow split peas	7.1.2.3.4.6	yellow split peas
Yellow squash	1.1.2.2.2.32	Yellow squash
Yellow squash	1.1.2.3.2.49	Yellow squash
Yellow squash	1.1.2.4.2.30	Yellow squash
Yellow squash	1.1.2.5.2.41	Yellow squash
Yellow squash	1.1.3.1.2.33	Yellow squash
Yellow squash	1.1.3.2.2.27	Yellow squash
Yellow squash	1.1.3.3.2.31	Yellow squash
Yellow squash	1.1.3.5.2.29	Yellow squash
Yellow squash	1.1.3.6.2.34	Yellow squash
Yellow squash	1.1.3.7.2.24	Yellow squash
Yellow squash	1.1.5.2.2.41	Yellow squash
Yellow squash	1.1.5.3.2.33	Yellow squash
Yellow squash	1.1.5.4.2.46	Yellow squash
Yellow squash	1.2.1.6.2.27	Yellow squash
Yellow squash	1.2.2.6.2.25	Yellow squash
Yellow squash	1.2.2.7.2.25	Yellow squash
Yellow squash	1.2.2.8.2.25	Yellow squash
Yellow squash	1.2.2.9.2.25	Yellow squash
Yellow squash	1.2.3.5.2.25	Yellow squash
Yellow squash	1.2.3.6.2.25	Yellow squash
Yellow squash	1.2.4.6.2.31	Yellow squash
yellow squash	1.1.12.1.2.39	yellow squash
yellow squash	1.1.12.2.2.40	yellow squash
yellow squash	1.1.12.3.2.30	yellow squash
yellow squash	1.1.5.5.2.7	yellow squash
yellow squash	1.1.8.1.2.34	yellow squash
yellow squash	1.1.8.2.2.40	yellow squash
yellow squash	1.1.8.3.2.38	yellow squash
yellow squash	1.1.8.5.2.37	yellow squash
yellow squash	1.1.8.6.2.42	yellow squash
yellow squash	1.1.9.4.2.54	yellow squash
yellow squash	3.7.5.4.1.12	yellow squash
yellow summer squash	1.1.10.3.2.48	yellow summer squash
yellow summer squash	1.1.10.4.2.42	yellow summer squash
yellow summer squash	1.1.10.5.2.39	yellow summer squash
yellow summer squash	1.1.11.2.2.40	yellow summer squash
yellow summer squash	1.1.11.3.2.41	yellow summer squash
yellow summer squash	1.1.11.4.2.28	yellow summer squash
yellow summer squash	1.1.11.5.2.40	yellow summer squash
yellow summer squash	1.1.6.2.2.36	yellow summer squash
yellow summer squash	1.1.6.4.2.40	yellow summer squash
yellow summer squash	1.1.6.5.2.36	yellow summer squash
yellow summer squash	1.1.6.6.2.34	yellow summer squash
yellow summer squash	1.1.7.1.2.38	yellow summer squash
yellow summer squash	1.1.7.2.2.40	yellow summer squash
yellow summer squash	1.1.7.3.2.33	yellow summer squash
yellow summer squash	1.1.7.5.2.37	yellow summer squash
yellow summer squash	1.1.8.4.2.38	yellow summer squash
yellow summer squash	1.1.9.1.2.36	yellow summer squash
yellow summer squash	1.1.9.2.2.35	yellow summer squash
yellow summer squash	1.1.9.3.2.30	yellow summer squash
yellow summer squash	1.1.9.4.2.40	yellow summer squash
Yellow sweet potato	6.5.3.1.1.11	Yellow sweet potato
yellow sweet potato	7.3.7.2.1.5	yellow sweet potato
yellow throat	6.4.1.2.18.3	yellow throat
yellow throat	6.4.1.2.6.10	yellow throat
yellow throat	6.4.1.3.18.7	yellow throat
yellow tiger palm mushroom	6.4.1.4.18.3	yellow tiger palm mushroom
yellow tkemali	4.2.1.4.13.3	yellow tkemali
yellow tomato	6.1.4.3.18.9	yellow tomato
yellow tomato	6.1.4.3.2.4	yellow tomato
Yellow Transparent apples	1.1.1.2.3.8	Yellow Transparent apples
yellow turnip	2.8.1.1.2.3	yellow turnip
yellow turnip	8.1.3.5.9.3	yellow turnip
Yellow turnips	2.3.3.1.2.17	Yellow turnips
yellow turnips	8.1.3.5.2.3	yellow turnips
yellow velvetleaf	7.1.9.2.18.10	yellow velvetleaf
yellow velvetleaf	7.1.9.2.2.19	yellow velvetleaf
yellow vine	6.3.5.4.19.9	yellow vine
yellow wheat noodles	7.2.2.1.1.10	yellow wheat noodles
yellow wheat noodles	7.2.2.3.1.8	yellow wheat noodles
yellow wheat noodles	7.2.4.1.1.8	yellow wheat noodles
yellow wheat noodles	7.2.4.2.1.5	yellow wheat noodles
yellow wine	6.2.1.2.16.6	yellow wine
yellow wine	6.2.2.1.16.7	yellow wine
yellow wine lees	6.2.1.2.24.4	yellow wine lees
yellow wine lees	6.2.1.4.24.5	yellow wine lees
yellow wine lees	6.2.2.1.24.2	yellow wine lees
yellow wine lees	6.2.2.2.24.4	yellow wine lees
yellow wine lees	6.2.3.3.24.5	yellow wine lees
yellow wine marinade	6.2.1.2.13.8	yellow wine marinade
Yellow yam	1.3.2.1.1.5	Yellow yam
Yellow yam	1.3.2.2.1.10	Yellow yam
Yellow yam	1.3.2.3.1.14	Yellow yam
Yellow yam	1.4.4.1.1.12	Yellow yam
Yellow yam	1.4.4.2.1.11	Yellow yam
Yellow yam	1.4.4.3.1.13	Yellow yam
Yellow yam	1.4.4.4.1.17	Yellow yam
Yellow yam	3.5.1.2.1.14	Yellow yam
yellow zucchini	2.7.2.4.2.10	yellow zucchini
yellow zucchini	7.2.1.3.2.24	yellow zucchini
yellow-bellied flounder	9.2.2.2.6.18	yellow-bellied flounder
Yellowbelly	9.1.4.3.6.16	Yellowbelly
Yelloweye mullet	9.1.2.2.6.15	Yelloweye mullet
yellowfin ahi	1.1.12.1.6.7	yellowfin ahi
yellowfin ahi	1.1.12.2.6.7	yellowfin ahi
yellowfin ahi	1.1.12.3.6.9	yellowfin ahi
yellowfin ahi	1.1.12.4.6.7	yellowfin ahi
Yellowfin bream	9.1.2.1.6.10	Yellowfin bream
Yellowfin bream	9.1.4.1.6.9	Yellowfin bream
yellowfin mojarra	1.3.2.4.6.20	yellowfin mojarra
yellowfin surgeonfish	9.4.3.3.6.10	yellowfin surgeonfish
Yellowfin tuna	3.8.4.1.6.4	Yellowfin tuna
Yellowfin tuna	3.8.4.2.6.2	Yellowfin tuna
Yellowfin tuna	3.8.5.1.6.1	Yellowfin tuna
Yellowfin tuna	4.5.5.1.6.6	Yellowfin tuna
Yellowfin tuna	5.8.1.3.6.1	Yellowfin tuna
Yellowfin tuna	5.8.2.1.6.2	Yellowfin tuna
Yellowfin tuna	5.8.2.2.6.2	Yellowfin tuna
Yellowfin tuna	5.8.2.3.6.2	Yellowfin tuna
Yellowfin tuna	7.4.3.1.18.6	Yellowfin tuna
Yellowfin tuna	7.4.3.1.6.10	Yellowfin tuna
Yellowfin tuna	7.4.3.2.6.14	Yellowfin tuna
Yellowfin tuna	7.4.3.3.6.10	Yellowfin tuna
Yellowfin tuna	9.3.5.2.6.10	Yellowfin tuna
yellowfin tuna	1.1.10.4.6.13	yellowfin tuna
yellowfin tuna	1.1.10.5.6.12	yellowfin tuna
yellowfin tuna	1.1.5.5.6.24	yellowfin tuna
yellowfin tuna	3.7.1.3.6.19	yellowfin tuna
yellowfin tuna	6.7.7.1.6.12	yellowfin tuna
yellowfin tuna	6.7.7.2.6.14	yellowfin tuna
yellowfin tuna	9.4.1.1.6.11	yellowfin tuna
yellowfin tuna	9.4.1.3.6.5	yellowfin tuna
yellowfin tuna	9.4.2.2.6.15	yellowfin tuna
yellowfin tuna	9.4.3.2.6.13	yellowfin tuna
yellowfin tuna	9.4.3.3.6.29	yellowfin tuna
yellowfin tuna	9.4.3.4.6.10	yellowfin tuna
yellowfin tuna	9.4.4.1.6.15	yellowfin tuna
yellowfin tuna	9.4.4.2.6.4	yellowfin tuna
yellowfin tuna	9.4.5.1.6.5	yellowfin tuna
yellowfin tuna	9.4.5.2.6.3	yellowfin tuna
yellowfin tuna	9.4.5.3.6.5	yellowfin tuna
yellowfin tuna	9.5.1.1.6.6	yellowfin tuna
yellowfin tuna	9.5.1.2.6.4	yellowfin tuna
yellowfin tuna	9.5.2.2.6.8	yellowfin tuna
yellowfin tuna	9.5.2.3.6.7	yellowfin tuna
yellowfin tuna	9.5.3.1.6.6	yellowfin tuna
yellowfin tuna	9.5.3.2.6.2	yellowfin tuna
yellowfin tuna	9.5.3.3.6.6	yellowfin tuna
yellowfin tuna	9.5.5.1.6.3	yellowfin tuna
yellowfin tuna	9.5.5.2.6.6	yellowfin tuna
yellowfin tuna	9.5.5.3.6.5	yellowfin tuna
yellowfish	3.7.8.3.18.2	yellowfish
yellowhorn fruit	6.4.5.1.3.8	yellowhorn fruit
yellowhorn seed oil	6.4.5.1.10.5	yellowhorn seed oil
yellowhorn seed oil	6.4.5.1.18.12	yellowhorn seed oil
yellowhorn seeds	6.4.5.1.5.4	yellowhorn seeds
yellowlip emperor	9.4.4.1.6.12	yellowlip emperor
Yellowtail	7.5.1.1.6.13	Yellowtail
yellowtail	1.1.10.4.6.6	yellowtail
yellowtail	1.1.10.5.6.8	yellowtail
yellowtail	3.7.1.1.6.11	yellowtail
yellowtail	6.6.3.2.6.16	yellowtail
yellowtail	6.7.5.1.6.1	yellowtail
yellowtail	6.7.6.2.6.14	yellowtail
yellowtail	6.7.6.4.6.9	yellowtail
Yellowtail fusilier	7.5.2.1.6.21	Yellowtail fusilier
Yellowtail kingfish	9.1.2.1.6.19	Yellowtail kingfish
Yellowtail kingfish	9.1.3.3.18.3	Yellowtail kingfish
Yellowtail kingfish	9.1.3.3.6.8	Yellowtail kingfish
yellowtail kingfish	2.3.8.4.18.9	yellowtail kingfish
yellowtail kingfish	2.3.8.4.6.15	yellowtail kingfish
yellowtail kingfish	9.2.2.1.6.10	yellowtail kingfish
yellowtail mullet	9.4.1.1.6.16	yellowtail mullet
yellowtail scad	7.1.9.3.18.10	yellowtail scad
yellowtail scad	7.1.9.3.6.2	yellowtail scad
Yellowtail snapper	1.1.5.3.6.14	Yellowtail snapper
Yellowtail snapper	1.3.2.1.6.7	Yellowtail snapper
yellowtail snapper	1.3.2.1.6.21	yellowtail snapper
yellowtail snapper	1.3.4.2.6.17	yellowtail snapper
yema de huevo	1.6.1.2.22.6	yolk
yema de huevo	2.2.2.3.22.5	yolk
yema de huevo	2.2.2.4.22.6	yolk
yema de huevo	2.2.3.1.22.5	yolk
yema de huevo	2.2.3.2.22.5	yolk
yema de huevo	2.2.3.3.22.6	yolk
yema de huevo	2.2.3.4.22.5	yolk
yema de huevo	2.2.4.1.22.6	yolk
yema de huevo	2.2.4.2.22.6	yolk
yema de huevo	2.2.4.3.22.7	yolk
yema de huevo	2.2.4.4.22.6	yolk
yema de huevo	2.2.6.3.22.7	yolk
yema de huevo	2.2.7.1.22.5	yolk
yema de huevo	2.2.7.2.22.7	yolk
yema de huevo	2.2.7.3.22.8	yolk
yema de huevo	2.2.7.4.22.8	yolk
yema de huevo batida	1.3.6.3.17.14	beaten egg yolk
Yemeni coffee	4.5.4.1.20.2	Yemeni coffee
Yemeni coffee	4.5.4.2.20.2	Yemeni coffee
Yemeni coffee beans	4.5.2.3.5.1	Yemeni coffee beans
Yemeni lentil soup	4.5.4.1.18.11	Yemeni lentil soup
yemlik otu	4.1.1.3.7.15	yemlik otu
Yen Ben lemon	9.2.1.2.3.13	Yen Ben lemon
Yen Ben lemon juice	9.2.1.2.12.2	Yen Ben lemon juice
Yenice dried red pepper	4.1.1.3.8.1	Yenice dried red pepper
Yenice kapya pepper	4.1.1.3.2.3	Yenice kapya pepper
Yenice kapya pepper	4.1.1.3.9.8	Yenice kapya pepper
yenidünya	4.1.5.1.3.10	loquat
yenidünya	4.1.5.4.3.17	loquat
Yennegai masala	5.6.3.4.13.6	Yennegai masala
Yennegai masala	5.6.3.4.18.8	Yennegai masala
Yeoju muskmelon	6.6.2.1.3.24	Yeoju muskmelon
Yeoju rice	6.6.2.1.1.4	Yeoju rice
yeolmu water kimchi	6.6.2.4.14.7	yeolmu water kimchi
Yeonan shellfish sikhae	6.6.1.1.14.13	Yeonan shellfish sikhae
Yeongcheon grapes	6.6.2.3.3.12	Yeongcheon grapes
Yeongcheon onion	6.6.2.3.2.8	Yeongcheon onion
Yeongcheon peach	6.6.2.3.3.8	Yeongcheon peach
Yeongdeok spinach	6.6.2.3.2.22	Yeongdeok spinach
Yeongdong grape wine	6.6.2.4.20.9	Yeongdong grape wine
Yeongdong grapes	6.6.2.4.18.7	Yeongdong grapes
Yeongdong grapes	6.6.2.4.3.7	Yeongdong grapes
Yeongdong persimmons	6.6.2.4.3.17	Yeongdong persimmons
Yeongdong walnuts	6.6.2.4.18.6	Yeongdong walnuts
Yeongdong walnuts	6.6.2.4.5.2	Yeongdong walnuts
yeot	6.6.1.1.15.3	yeot
yeot	6.6.1.2.15.3	yeot
yeot	6.6.1.3.15.3	yeot
yeot	6.6.2.1.15.3	yeot
yeot	6.6.2.2.15.3	yeot
yeot	6.6.2.3.15.3	yeot
yeot	6.6.2.4.15.3	yeot
yeot	6.6.2.5.15.5	yeot
yeot	6.6.3.1.15.3	yeot
yeot	6.6.3.2.15.3	yeot
yeotgireum	6.6.1.1.22.2	yeotgireum
yeotgireum	6.6.1.2.22.2	yeotgireum
yeotgireum	6.6.1.3.22.2	yeotgireum
yeotgireum	6.6.2.1.22.2	yeotgireum
yeotgireum	6.6.2.2.22.3	yeotgireum
yeotgireum	6.6.2.4.22.3	yeotgireum
yeotgireum powder	6.6.1.2.8.5	yeotgireum powder
Yerba buena	1.2.1.6.19.2	Yerba buena
Yerba buena	1.2.2.6.19.2	Yerba buena
Yerba buena	1.2.2.7.19.2	Yerba buena
Yerba buena	1.2.2.8.19.2	Yerba buena
Yerba buena	1.2.2.9.19.2	Yerba buena
Yerba buena	1.2.3.5.19.2	Yerba buena
Yerba buena	1.2.3.6.19.2	Yerba buena
Yerba buena	1.2.4.6.19.2	Yerba buena
Yerba buena	1.8.5.2.7.15	Yerba buena
Yerba buena	7.4.1.1.19.7	Yerba buena
Yerba buena	7.4.2.3.19.7	Yerba buena
